Event.Nr CDA.nSCR CDA.Latency CDA.AmpSum CDA.SCR CDA.ISCR CDA.PhasicMax CDA.Tonic TTP.nSCR TTP.Latency TTP.AmpSum Global.Mean Global.MaxDeflection Event.Name EmoId ExpId VideoId ParticipantId OverUnder Participant Sex Age Language RepId
147 1 3.812 0.0273 0.0015 0.0697 0.1604 2.6678 1 3.125 0.0271 2.6732 0.0086 19 disgust Ov1 1344 001m24ee o 1 m 24 ee 4
148 0 NA 0 0 0 0.2163 2.6654 0 NA 0 2.6738 0.0089 25 neutral Ov2 1344 001m24ee o 1 m 24 ee 5
149 0 NA 0 4e-4 0.0208 0.0436 2.6637 0 NA 0 2.7278 0 24 sad Ov2 1344 001m24ee o 1 m 24 ee 5
150 1 2.25 0.0776 0.0103 0.495 0.271 2.6686 0 NA 0 2.7114 0.0756 26 disgust Ov2 1344 001m24ee o 1 m 24 ee 5
151 0 NA 0 0.0012 0.0598 0.0305 2.6655 0 NA 0 2.7087 0 23 happy Ov2 1344 001m24ee o 1 m 24 ee 5
152 0 NA 0 3e-4 0.0158 0.0272 2.661 0 NA 0 2.6791 0 28 surprise Ov2 1344 001m24ee o 1 m 24 ee 5
153 1 2.312 0.0103 6e-4 0.0271 0.2376 2.6539 0 NA 0 2.6604 0.0081 27 fear Ov2 1344 001m24ee o 1 m 24 ee 5
154 0 NA 0 2e-4 0.0084 0.2069 2.643 0 NA 0 2.6493 0.0072 22 anger Ov2 1344 001m24ee o 1 m 24 ee 5
155 3 1.75 0.1367 0.0175 0.8378 0.5917 2.7779 1 2 0.0961 2.945 0.0798 33 disgust Un1 1344 001m24ee o 1 m 24 ee 1
156 1 3.5 0.0193 0.0015 0.0741 0.1191 2.8534 1 3.062 0.0254 2.8559 0.01 34 fear Un1 1344 001m24ee o 1 m 24 ee 1
157 1 3.75 0.0288 0.0039 0.189 0.1342 2.89 0 NA 0 2.9617 0.0047 29 anger Un1 1344 001m24ee o 1 m 24 ee 1
158 0 NA 0 4e-4 0.0216 0.0277 2.8777 0 NA 0 2.8773 9e-4 30 happy Un1 1344 001m24ee o 1 m 24 ee 1
159 1 3.562 0.0532 0.005 0.2411 0.225 2.8721 1 2.687 0.0528 2.8858 0.0256 35 surprise Un1 1344 001m24ee o 1 m 24 ee 1
160 2 2.937 0.0577 0.0062 0.299 0.2068 2.8818 1 2.312 0.0485 2.8966 0.0311 32 neutral Un1 1344 001m24ee o 1 m 24 ee 1
161 2 3.375 0.0518 0.0052 0.2507 0.2285 2.8646 1 2.937 0.0384 2.8882 0.0208 31 sad Un1 1344 001m24ee o 1 m 24 ee 1
162 0 NA 0 3e-4 0.0134 0.1785 2.8536 1 3.938 0.1192 2.8607 1e-4 39 neutral Un2 1344 001m24ee o 1 m 24 ee 2
163 0 NA 0 8e-4 0.0387 0.0576 2.8289 0 NA 0 2.8333 0.0019 36 anger Un2 1344 001m24ee o 1 m 24 ee 2
164 0 NA 0 0 2e-4 0.013 2.7976 0 NA 0 2.8071 0 40 disgust Un2 1344 001m24ee o 1 m 24 ee 2
165 0 NA 0 3e-4 0.0144 0.0107 2.7486 0 NA 0 2.7543 0 37 happy Un2 1344 001m24ee o 1 m 24 ee 2
166 1 3.875 0.0124 0.0028 0.1353 0.0743 2.7077 0 NA 0 2.724 2e-4 38 sad Un2 1344 001m24ee o 1 m 24 ee 2
167 2 1.188 0.0594 0.0132 0.6354 1.4616 2.6304 2 1.125 0.0756 2.6641 0.0627 42 surprise Un2 1344 001m24ee o 1 m 24 ee 2
168 0 NA 0 3e-4 0.0121 0.0193 2.6433 0 NA 0 2.649 1e-4 41 fear Un2 1344 001m24ee o 1 m 24 ee 2
